상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,도로명,도로명주소,경도,위도,이동시간_분_차,이동시간_분_보행
헤어살롱비엔지,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,유천2동,유천동,대전광역시 중구 평촌로,대전광역시 중구 평촌로 104-1,127.398475202391,36.3225439178121,4.0,38
이브자리,소매,섬유·의복·신발 소매,침구류/커튼 소매업,가정용 직물제품 소매업,대전광역시,중구,산성동,산성동,대전광역시 중구 대둔산로,대전광역시 중구 대둔산로 472,127.388797241535,36.3110849476014,5.0,47
모던인테리어,과학·기술,전문 디자인,인테리어 디자인업,도배; 실내 장식 및 내장 목공사업,대전광역시,중구,용두동,용두동,대전광역시 중구 선화로22번길,대전광역시 중구 선화로22번길 48,127.413397633408,36.3242403351494,2.0,19
거상장식,소매,철물·건설자재 소매,벽지/장판/마루 소매업,벽지; 마루덮개 및 장판류 소매업,대전광역시,중구,부사동,부사동,대전광역시 중구 보문로,대전광역시 중구 보문로 90,127.431138933989,36.3136281728638,2.0,22
경성장,숙박,일반 숙박,여관/모텔,여관업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 419-7,127.4309786506,36.3264883298878,0.0,5
쌍리,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중앙로130번길,대전광역시 중구 중앙로130번길 46,127.425167456238,36.3261090360105,0.0,4
고려종합중고,소매,가구 소매,가구 소매업,가구 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 179,127.43154180985,36.3256258047015,0.0,6
노상에서,음식,주점,요리 주점,기타 주점업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로262번길,대전광역시 중구 보문로262번길 29,127.423414562452,36.326686408972,0.0,7
솔잎식당,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,대전광역시,중구,부사동,부사동,대전광역시 중구 보문로48번길,대전광역시 중구 보문로48번길 27,127.434708348887,36.3143570970194,2.0,21
한신부속,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 247,127.439618290047,36.3129562267177,3.0,26
무진광고,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,간판 및 광고물 제조업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 선화서로,대전광역시 중구 선화서로 108,127.415602723919,36.33320959799,1.0,16
오케이금고키센타,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로,대전광역시 중구 보문로 311,127.419546585734,36.3301104788035,1.0,10
을지미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로1498번길,대전광역시 중구 계백로1498번길 39,127.38962862919,36.3158568326832,5.0,41
유성철물,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,대전광역시,중구,부사동,부사동,대전광역시 중구 부용로,대전광역시 중구 부용로 7,127.43154551044,36.3128460133715,2.0,23
삼부원두,소매,식료품 소매,반찬/식료품 소매업,빵류; 과자류 및 당류 소매업,대전광역시,중구,태평2동,태평동,대전광역시 중구 태평로,대전광역시 중구 태평로 71,127.393401847791,36.3233023711898,5.0,44
세일가스,소매,연료 소매,가스 충전소,운송장비용 가스 충전업,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 117,127.450715303309,36.3026342420433,5.0,44
어울림식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,문화1동,문화동,대전광역시 중구 중앙로16번길,대전광역시 중구 중앙로16번길 30,127.414399076085,36.3213882683973,2.0,17
화장터/묘지/납골당,수리·개인,장례식장 ,화장터/묘지/납골당,화장터 운영; 묘지 분양 및 관리업,대전광역시,중구,유천2동,유천동,대전광역시 중구 유천로,대전광역시 중구 유천로 96,127.396771304015,36.321084312826,5.0,38
형제드라이크리닝,수리·개인,세탁,세탁소,가정용 세탁업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로323번길,대전광역시 중구 보문로323번길 34,127.417439021536,36.3304336893207,1.0,13
온누리건강원,소매,식료품 소매,건강보조식품 소매업,건강 보조용 액화식품 제조업,대전광역시,중구,산성동,산성동,대전광역시 중구 문화로78번길,대전광역시 중구 문화로78번길 12,127.394388805314,36.3108971019272,5.0,45
센트리아슈퍼,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로,대전광역시 중구 계백로 1719,127.410472629671,36.322207135762,2.0,20
화장품,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 59,127.454585764789,36.2984611024294,6.0,49
열두광주리떡집,음식,기타 간이,떡/한과,떡류 제조업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로10번길,대전광역시 중구 문창로10번길 26,127.437476823729,36.3149739978881,2.0,22
가뜨랑,음식,주점,요리 주점,기타 주점업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로1685번길,대전광역시 중구 계백로1685번길 9,127.406391964974,36.3213217373876,3.0,25
대산수퍼마켓,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 57-1,127.454664891632,36.2982902239139,6.0,49
미가건축인테리어,과학·기술,전문 디자인,인테리어 디자인업,도배; 실내 장식 및 내장 목공사업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 테미로,대전광역시 중구 테미로 51-2,127.422254180047,36.3224358965309,1.0,11
디아망,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로6번길,대전광역시 중구 문창로6번길 26,127.437646386304,36.3146233054478,2.0,22
꾸씨꾸씨헤어,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,유천2동,유천동,대전광역시 중구 계백로1618번길,대전광역시 중구 계백로1618번길 73,127.400999861141,36.315725086638,4.0,35
성심이용원,수리·개인,이용·미용,미용실,이용업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 충무로,대전광역시 중구 충무로 51,127.423154204638,36.3181863177867,2.0,18
천정엠보싱,소매,자동차 부품 소매,자동차 부품 소매업,기타 자동차 신품 부품 및 내장품 판매업,대전광역시,중구,대사동,대사동,대전광역시 중구 충무로,대전광역시 중구 충무로 111,127.429253689116,36.3186572099291,1.0,14
낙원음향;조명,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,전시; 컨벤션 및 행사 대행업,대전광역시,중구,오류동,오류동,대전광역시 중구 오류로,대전광역시 중구 오류로 125,127.400670639563,36.3310898138913,4.0,37
깡통과치킨,음식,주점,요리 주점,기타 주점업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로121번길,대전광역시 중구 중앙로121번길 30,127.422828869924,36.3290809185487,0.0,6
유앤아이스튜디오,과학·기술,사진 촬영,사진촬영업,인물 사진 및 행사용 영상 촬영업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 대종로,대전광역시 중구 대종로 500,127.425724847346,36.3290768421097,0.0,2
인터폰,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로,대전광역시 중구 보문로 246,127.422873037113,36.3246018976205,0.0,7
충남사,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 84,127.421816046052,36.3229474934821,1.0,10
고등이용원,수리·개인,이용·미용,미용실,이용업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 충무로,대전광역시 중구 충무로 11,127.418853315608,36.3184719138335,2.0,18
종오당약국,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로66번길,대전광역시 중구 대흥로66번길 25,127.42110434531,36.3227998482101,1.0,11
모아세탁소,수리·개인,세탁,세탁소,가정용 세탁업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로,대전광역시 중구 보문로 191,127.424256038829,36.3197958644668,1.0,14
국제카오디오상사,소매,중고 상품 소매,중고 상품 소매업,중고 가전제품 및 통신장비 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 충무로,대전광역시 중구 충무로 166,127.434798324883,36.3204049525508,1.0,14
한성세탁소,수리·개인,세탁,세탁소,가정용 세탁업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로47번길,대전광역시 중구 보문로47번길 59,127.438555604899,36.3120680086666,3.0,25
영진이용원,수리·개인,이용·미용,미용실,이용업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로29번길,대전광역시 중구 보문로29번길 4,127.43756260787,36.3138838806287,2.0,23
화성미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,문창동,문창동,대전광역시 중구 충무로,대전광역시 중구 충무로 164,127.434609717797,36.3203049225032,1.0,14
원이용원,수리·개인,이용·미용,미용실,이용업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로,대전광역시 중구 보문로 24,127.438092466431,36.3145352772684,3.0,24
신영이용원,수리·개인,이용·미용,미용실,이용업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로30번길,대전광역시 중구 보문로30번길 131,127.434592456453,36.3196108737778,1.0,15
청진이용원,수리·개인,이용·미용,미용실,이용업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로,대전광역시 중구 문창로 46-1,127.434618236967,36.317583169353,2.0,16
열쇠공사,수리·개인,기타 가정용품 수리,그 외 기타 개인/가정용품 수리업,그 외 기타 개인 및 가정용품 수리업,대전광역시,중구,문창동,문창동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 269-2,127.438746831446,36.314907866486,2.0,23
맛짬,음식,중식,중국집,중식 음식점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 당디로,대전광역시 중구 당디로 111,127.391051161178,36.3148006069211,5.0,42
그린세탁소,수리·개인,세탁,세탁소,가정용 세탁업,대전광역시,중구,산성동,산성동,대전광역시 중구 문화로78번길,대전광역시 중구 문화로78번길 19,127.394836860499,36.3105568937105,5.0,46
수림정,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,대전광역시,중구,태평1동,태평동,대전광역시 중구 태평로152번길,대전광역시 중구 태평로152번길 10,127.396951113549,36.3295479888116,5.0,41
허준헤어,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,문화1동,문화동,대전광역시 중구 서문로,대전광역시 중구 서문로 128,127.406360334652,36.3196182092665,3.0,27
꾸미신닭발,음식,한식,닭/오리고기 구이/찜,한식 육류 요리 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중교로,대전광역시 중구 중교로 92,127.429625495283,36.3272389346637,0.0,3
양자강,음식,중식,중국집,중식 음식점업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 90,127.422241446707,36.3226521361835,1.0,10
PC와함께,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,컴퓨터 및 주변 기기 수리업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로,대전광역시 중구 문창로 48,127.434494566509,36.3177448105289,2.0,16
박주아헤어클럽,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로,대전광역시 중구 보문로 21,127.4383948789,36.3142933589133,3.0,24
샬롬숙녀복화장품,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로,대전광역시 중구 보문로 30,127.437392593289,36.314297658857,2.0,23
성열식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로6번길,대전광역시 중구 문창로6번길 42,127.438423438578,36.3149694357742,2.0,23
명성전기통신,수리·개인,가전제품 수리,가전제품 수리업,가전제품 수리업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로,대전광역시 중구 보문로 27-3,127.437939928862,36.3140659065901,2.0,23
한밭슈퍼,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로30번길,대전광역시 중구 보문로30번길 117,127.434852175049,36.3191164110741,2.0,16
청일상회,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로54번길,대전광역시 중구 문창로54번길 47,127.436411345698,36.3191147594313,2.0,18
동아슈퍼,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로,대전광역시 중구 보문로 17,127.43871665395,36.3144570963361,3.0,24
충무서점,소매,오락용품 소매,서점,서적; 신문 및 잡지류 소매업,대전광역시,중구,부사동,부사동,대전광역시 중구 보문로,대전광역시 중구 보문로 91,127.430940718572,36.3133208022235,2.0,22
건축사사무소전원건축,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,건축 설계 및 관련 서비스업,대전광역시,중구,유천2동,유천동,대전광역시 중구 유천로,대전광역시 중구 유천로 42,127.39841162028,36.3163249432764,4.0,37
진칼국수,음식,한식,국수/칼국수,한식 면 요리 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 수도산로,대전광역시 중구 수도산로 50,127.42946758703,36.3213980483011,1.0,9
홍두깨칼국수,음식,한식,국수/칼국수,한식 면 요리 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 충무로107번길,대전광역시 중구 충무로107번길 15,127.428283046202,36.3188959108445,1.0,14
투어라인,시설관리·임대,여행사·보조,여행사,여행사업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로,대전광역시 중구 보문로 246,127.422873037113,36.3246018976205,0.0,7
보광유리,소매,기타 생활용품 소매,주방/가정용품 소매업,주방용품 및 가정용 유리; 요업제품 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로,대전광역시 중구 보문로 174-1,127.42540063165,36.3186207267533,2.0,16
애드원,과학·기술,광고,옥외/전시 광고 대행업,옥외 및 전시 광고업,대전광역시,중구,대사동,대사동,대전광역시 중구 충무로6번길,대전광역시 중구 충무로6번길 16,127.418370748204,36.3174691733314,2.0,20
하나시스템,수리·개인,가전제품 수리,가전제품 수리업,가전제품 수리업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로102번길,대전광역시 중구 문창로102번길 37,127.433677867142,36.3228781027373,1.0,11
명진유리상사,소매,기타 생활용품 소매,주방/가정용품 소매업,주방용품 및 가정용 유리; 요업제품 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 361,127.434595527808,36.3222695929306,1.0,13
고기타운,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,대전광역시,중구,중촌동,중촌동,대전광역시 중구 어덕마을로,대전광역시 중구 어덕마을로 160-3,127.4104730812,36.3428458296587,3.0,29
프로샷스튜디오,과학·기술,사진 촬영,사진촬영업,인물 사진 및 행사용 영상 촬영업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로164번길,대전광역시 중구 중앙로164번길 44,127.428588184006,36.32744126896,0.0,2
우진결혼정보,수리·개인,기타 개인,결혼 상담 서비스업,결혼 상담 및 준비 서비스업,대전광역시,중구,용두동,용두동,대전광역시 중구 선화로,대전광역시 중구 선화로 8,127.410876363875,36.3247957259768,2.0,22
서라벌안경원,소매,안경·정밀기기 소매,안경렌즈 소매업,안경 및 렌즈 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 134-1,127.424730256465,36.3280085795641,0.0,4
한입가득행복한김밥,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,대전광역시,중구,태평2동,태평동,대전광역시 중구 유등천동로,대전광역시 중구 유등천동로 428,127.388665942964,36.3221967407599,5.0,44
백제장여관,숙박,일반 숙박,여관/모텔,여관업,대전광역시,중구,문화1동,문화동,대전광역시 중구 중앙로16번길,대전광역시 중구 중앙로16번길 19-11,127.415029089384,36.3220312439218,2.0,16
나드리철물,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,대전광역시,중구,산성동,산성동,대전광역시 중구 보문산로122번안길,대전광역시 중구 보문산로122번안길 57,127.390695892915,36.304641648857,6.0,53
신세계커텐홈패션,소매,섬유·의복·신발 소매,침구류/커튼 소매업,가정용 직물제품 소매업,대전광역시,중구,산성동,산성동,대전광역시 중구 당디로,대전광역시 중구 당디로 28,127.394380907256,36.3075984663699,6.0,49
실비식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대종로610번길,대전광역시 중구 대종로610번길 28,127.417948596089,36.3367990187687,2.0,18
행복한밥상,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 61-9,127.454274840953,36.2983425199438,6.0,49
삼대째손두부2,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로,대전광역시 중구 계백로 1697-9,127.40783762616,36.321608296358,2.0,23
왕자서점;문구,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,대전광역시,중구,문화1동,문화동,대전광역시 중구 문화로218번길,대전광역시 중구 문화로218번길 48,127.408609199357,36.3138252724091,4.0,31
하나미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,유천2동,유천동,대전광역시 중구 계백로1583번길,대전광역시 중구 계백로1583번길 18,127.39575235806,36.3189071443184,4.0,38
석종구건축사사무소루트,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,건축 설계 및 관련 서비스업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 계룡로955번길,대전광역시 중구 계룡로955번길 12,127.417892172603,36.3189268777187,2.0,18
압구정,음식,주점,요리 주점,기타 주점업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 대종로480번길,대전광역시 중구 대종로480번길 38,127.428639858813,36.3279912812239,0.0,1
법무사,과학·기술,법무관련 ,법무사,법무사업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로337번길,대전광역시 중구 보문로337번길 3,127.418384836606,36.332060551604,1.0,12
용두열쇠철물상회,소매,철물·건설자재 소매,철물/공구 소매업,철물 및 난방용구 소매업,대전광역시,중구,용두동,용두동,대전광역시 중구 용두로,대전광역시 중구 용두로 29-1,127.408677126825,36.3269478761002,3.0,25
천근식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,문화2동,문화동,대전광역시 중구 천근로,대전광역시 중구 천근로 24,127.402428171126,36.30951357177,5.0,42
명컴퓨터,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,컴퓨터 및 주변장치; 소프트웨어 소매업,대전광역시,중구,문화1동,문화동,대전광역시 중구 서문로43번길,대전광역시 중구 서문로43번길 9-1,127.40781840467,36.3123703361864,4.0,33
한양식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로,대전광역시 중구 보문로 315,127.419455275428,36.3304074490651,1.0,12
믿음건강원,소매,식료품 소매,건강보조식품 소매업,건강 보조용 액화식품 제조업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로47번길,대전광역시 중구 보문로47번길 47,127.438030232784,36.312344930001,3.0,24
명성공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,대전광역시,중구,문화2동,문화동,대전광역시 중구 산성로,대전광역시 중구 산성로 144,127.402262779437,36.3122165122704,4.0,38
대성지업사,소매,철물·건설자재 소매,벽지/장판/마루 소매업,벽지; 마루덮개 및 장판류 소매업,대전광역시,중구,목동,목동,대전광역시 중구 목중로,대전광역시 중구 목중로 41,127.409747752469,36.3371012758791,2.0,23
정관장홍삼,소매,식료품 소매,건강보조식품 소매업,건강 보조식품 소매업,대전광역시,중구,부사동,부사동,대전광역시 중구 대종로,대전광역시 중구 대종로 299-1,127.435266027213,36.3126924073552,2.0,22
한백종합가구,소매,가구 소매,가구 소매업,가구 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 409-10,127.431384380556,36.3258323445625,0.0,7
인디언광고사,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,간판 및 광고물 제조업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 157,127.429363810315,36.3249394859896,0.0,4
