상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,도로명,도로명주소,경도,위도,이동시간_분_차,이동시간_분_보행
힐헤어끌림,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,중촌동,중촌동,대전광역시 중구 동서대로1421번길,대전광역시 중구 동서대로1421번길 43,127.411958215481,36.3364542576994,2.0,22
정성약국,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,대전광역시,중구,유천2동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1600,127.39788474046,36.318223937885,4.0,35
다솜,수리·개인,기타 개인,결혼 상담 서비스업,결혼 상담 및 준비 서비스업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로,대전광역시 중구 계백로 1719,127.410472629671,36.322207135762,2.0,20
마테호른,음식,주점,요리 주점,기타 주점업,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로,대전광역시 중구 수침로 97,127.398978628209,36.3280531085001,4.0,37
대천수산,음식,한식,횟집,한식 일반 음식점업,대전광역시,중구,부사동,부사동,대전광역시 중구 대종로334번길,대전광역시 중구 대종로334번길 29,127.435085032335,36.3161704035159,2.0,19
카페한가로와대전,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로254번길,대전광역시 중구 보문로254번길 36,127.424133464416,36.3258607203915,0.0,5
샤론미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,태평1동,태평동,대전광역시 중구 유천로132번길,대전광역시 중구 유천로132번길 31-17,127.39680569282,36.3252933408598,4.0,38
꽃돼지전국꽃배달,소매,식물 소매,꽃집,화초 및 식물 소매업,대전광역시,중구,용두동,용두동,대전광역시 중구 용두로28번길,대전광역시 중구 용두로28번길 32,127.410240863643,36.327838830216,2.0,23
헌터피씨대전,예술·스포츠,유원지·오락,PC방,컴퓨터 게임방 운영업,대전광역시,중구,문화1동,문화동,대전광역시 중구 서문로,대전광역시 중구 서문로 128,127.406360334652,36.3196182092665,3.0,27
알뜰상회,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,대전광역시,중구,유천1동,유천동,대전광역시 중구 문화로105번길,대전광역시 중구 문화로105번길 103,127.395646624112,36.3167345867431,5.0,39
한지갤러리앤카페,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 529,127.4228038466,36.3339836176008,1.0,10
클린지아,시설관리·임대,청소·방제,건축물 일반 청소업,건축물 일반 청소업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로335번길,대전광역시 중구 보문로335번길 14-11,127.417372863914,36.3318393222498,1.0,13
카페모두,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,태평2동,태평동,대전광역시 중구 태평로,대전광역시 중구 태평로 143,127.396228403175,36.3293821149206,5.0,41
부산꼼장어,음식,한식,횟집,한식 해산물 요리 전문점,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 58,127.455264097923,36.2985813585143,6.0,49
대성인테리어,과학·기술,전문 디자인,인테리어 디자인업,도배; 실내 장식 및 내장 목공사업,대전광역시,중구,산성동,산성동,대전광역시 중구 유등천동로204번길,대전광역시 중구 유등천동로204번길 15,127.384065503554,36.302471698784,6.0,53
24K구제,소매,중고 상품 소매,중고 상품 소매업,기타 중고 상품 소매업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로170번길,대전광역시 중구 중앙로170번길 11,127.428798439374,36.3291546572897,0.0,3
보리,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 145,127.424883932736,36.3283157455132,0.0,3
옹달샘코다리찜,음식,한식,해산물 구이/찜,한식 일반 음식점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1566,127.394327690112,36.3173587898041,4.0,39
한양의료기흙돌침대,소매,가구 소매,가구 소매업,가구 소매업,대전광역시,중구,용두동,용두동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 871,127.41130730566,36.323770419296,2.0,20
나성이엔지,시설관리·임대,시설관리,사업시설 유지·관리 서비스업,사업시설 유지ㆍ관리 서비스업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 161,127.429719546842,36.3250313091662,0.0,5
세웅이네가족식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,중촌동,중촌동,대전광역시 중구 목중로10번길,대전광역시 중구 목중로10번길 9-9,127.412608939741,36.3358355932965,2.0,21
필,음식,주점,일반 유흥 주점,일반 유흥 주점업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대종로460번길,대전광역시 중구 대종로460번길 28,127.429042696776,36.3262087219666,0.0,3
명동공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,대전광역시,중구,유천2동,유천동,대전광역시 중구 유천로,대전광역시 중구 유천로 14-1,127.399230768736,36.314066912691,5.0,38
포일,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대종로517번길,대전광역시 중구 대종로517번길 36,127.422438512678,36.329151133324,0.0,6
더꾸닭꾸,음식,기타 간이,치킨,치킨 전문점,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로55번길,대전광역시 중구 수침로55번길 16,127.399826658572,36.3249480456659,4.0,35
띠울아쿠아3층매점,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문산공원로,대전광역시 중구 보문산공원로 551,127.425548551425,36.3166747249668,2.0,19
대원이앤비,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,간판 및 광고물 제조업,대전광역시,중구,태평1동,태평동,대전광역시 중구 태평로,대전광역시 중구 태평로 144,127.39667593213,36.3291230113725,5.0,40
지엠쑥쑥카페,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,태평1동,태평동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1218,127.395278076636,36.3255199482897,5.0,40
풍기인견나라,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로6번길,대전광역시 중구 문창로6번길 29,127.437699800288,36.3149389966004,2.0,22
대광공조시스템,소매,가전·통신 소매,가전제품 소매업,가전제품 소매업,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로,대전광역시 중구 수침로 75,127.399750297445,36.3261913919731,4.0,35
선화동한가네닭발,음식,주점,요리 주점,기타 주점업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로1685번길,대전광역시 중구 계백로1685번길 10,127.406803477497,36.3213958805125,3.0,25
송가네뒷고기삼겹살,음식,한식,돼지고기 구이/찜,기타 주점업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대종로529번길,대전광역시 중구 대종로529번길 6,127.422884332292,36.3306223305346,0.0,7
슈맥마라탕,음식,중식,마라탕/훠궈,중식 음식점업,대전광역시,중구,목동,목동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1391,127.411426151657,36.3331440416511,2.0,21
청향일식,음식,일식,일식 회/초밥,일식 음식점업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 923,127.41526077972,36.320833708588,2.0,17
도미라토탈뷰티,수리·개인,이용·미용,피부 관리실,피부 미용업,대전광역시,중구,목동,목동,대전광역시 중구 목동로,대전광역시 중구 목동로 25,127.408184464367,36.3331821098382,3.0,25
한양포차,음식,주점,일반 유흥 주점,한식 일반 음식점업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 467,127.42805609392,36.3301424871219,0.0,5
구피샵,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,용두동,용두동,대전광역시 중구 선화로22번길,대전광역시 중구 선화로22번길 12,127.412041778866,36.3253332039066,2.0,20
띠울하늘카페,음식,비알코올 ,카페,기타 비알코올 음료점업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문산공원로,대전광역시 중구 보문산공원로 551,127.425548551425,36.3166747249668,2.0,19
에덴헤어,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,태평2동,태평동,대전광역시 중구 동서대로1194번길,대전광역시 중구 동서대로1194번길 9,127.392456842985,36.3259562689291,5.0,42
완도수산야채막회,음식,한식,횟집,한식 해산물 요리 전문점,대전광역시,중구,산성동,산성동,대전광역시 중구 보문산로,대전광역시 중구 보문산로 129,127.39453075695,36.3054992987981,6.0,52
스타일온,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 61-13,127.453997318667,36.2982240891797,6.0,49
땡스독,소매,애완동물·용품 소매,애완동물/애완용품 소매업,애완용 동물 및 관련용품 소매업,대전광역시,중구,문화2동,문화동,대전광역시 중구 당디로6번길,대전광역시 중구 당디로6번길 76,127.398414111321,36.307303388954,5.0,46
목하,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,용두동,용두동,대전광역시 중구 선화로22번길,대전광역시 중구 선화로22번길 25,127.414501560127,36.3240654965053,2.0,17
젠헤어,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,문창동,문창동,대전광역시 중구 보문로,대전광역시 중구 보문로 33,127.437261748899,36.3139095025301,2.0,23
돈까스맨,음식,일식,일식 카레/돈가스/덮밥,일식 음식점업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중교로,대전광역시 중구 중교로 90,127.429325502582,36.3271383648002,0.0,3
마벨,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중교로,대전광역시 중구 중교로 53,127.42551291546,36.3260836591702,0.0,3
더샘,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계백로,대전광역시 중구 계백로 1690,127.407702803638,36.3202917968177,3.0,25
청운카센타,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,대전광역시,중구,석교동,석교동,대전광역시 중구 대종로,대전광역시 중구 대종로 245,127.440429074721,36.3101390884846,3.0,28
세븐일레븐대전용두,소매,종합 소매,편의점,체인화 편의점,대전광역시,중구,용두동,용두동,대전광역시 중구 동서대로1322번길,대전광역시 중구 동서대로1322번길 39,127.407447768251,36.3275005653957,3.0,27
유회공방,소매,기타 생활용품 소매,주방/가정용품 소매업,그 외 기타 분류 안된 가정용품 소매업,대전광역시,중구,문화2동,문화동,대전광역시 중구 보문산로177번안길,대전광역시 중구 보문산로177번안길 37,127.397886226838,36.3064445382617,6.0,47
정가네곱창,음식,한식,곱창 전골/구이,한식 육류 요리 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로262번길,대전광역시 중구 보문로262번길 48,127.42447077163,36.3269438503307,0.0,5
유성갈비,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중앙로138번길,대전광역시 중구 중앙로138번길 30,127.425447172188,36.3274532500222,0.0,4
임보라노래교실,교육,기타 교육,음악학원,음악학원,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 65,127.418875444389,36.3244924046643,1.0,12
엠씨푸드,음식,구내식당·뷔페,구내식당,기관 구내식당업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 141,127.425058031966,36.3288753606608,0.0,3
대전자동차배터리의료기,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,대전광역시,중구,석교동,석교동,대전광역시 중구 신기로,대전광역시 중구 신기로 1,127.447667445697,36.3069462436434,4.0,37
영순이네,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 61-5,127.454418886782,36.2984423159028,6.0,49
운섭명가,소매,종합 소매,그 외 기타 종합 소매업,그 외 기타 종합 소매업,대전광역시,중구,유천1동,유천동,대전광역시 중구 문화로105번길,대전광역시 중구 문화로105번길 30,127.396995968004,36.3136050337385,5.0,40
매직터치충무점,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,대전광역시,중구,부사동,부사동,대전광역시 중구 대종로334번길,대전광역시 중구 대종로334번길 9-1,127.433774628498,36.3156595004056,2.0,18
세연,시설관리·임대,청소·방제,건축물 일반 청소업,건축물 일반 청소업,대전광역시,중구,유천2동,유천동,대전광역시 중구 유천로,대전광역시 중구 유천로 84,127.397113385896,36.3200495964104,4.0,38
낭만,음식,주점,요리 주점,기타 주점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 태평로26번길,대전광역시 중구 태평로26번길 36,127.394355572353,36.3195129286823,5.0,40
브릭스,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,석교동,석교동,대전광역시 중구 사득로,대전광역시 중구 사득로 80,127.43851084812,36.3105446734007,3.0,27
컴패니언,교육,기타 교육,기타 기술/직업 훈련학원,기타 기술 및 직업 훈련학원,대전광역시,중구,부사동,부사동,대전광역시 중구 보문로67번길,대전광역시 중구 보문로67번길 31,127.434690947096,36.3121399225941,2.0,23
호남한지필방,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대종로529번길,대전광역시 중구 대종로529번길 34,127.421495470088,36.3301559772169,1.0,8
뉴가나항공여행사,시설관리·임대,여행사·보조,여행사,여행사업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 922,127.414812664479,36.31969593451,2.0,19
선인자동차대전서비스센타,수리·개인,자동차 수리·세차,자동차 정비소,자동차용 전용 신품 부품 판매업,대전광역시,중구,용두동,용두동,대전광역시 중구 유등천동로,대전광역시 중구 유등천동로 624,127.399267167637,36.3339938135189,5.0,39
신추풍령시래기감자탕,음식,한식,국/탕/찌개류,한식 일반 음식점업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 수도산로47번길,대전광역시 중구 수도산로47번길 46,127.428272080817,36.3234471985419,0.0,7
클라비스NC대전,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 141,127.425058031966,36.3288753606608,0.0,3
대전세이바이오닉,소매,섬유·의복·신발 소매,신발 소매업,신발 소매업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계백로,대전광역시 중구 계백로 1700,127.40880280715,36.3206307062252,2.0,23
이마트24대전,소매,종합 소매,편의점,체인화 편의점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대종로452번길,대전광역시 중구 대종로452번길 38,127.429959644757,36.3257083955781,0.0,4
킹당구클럽,예술·스포츠,스포츠 서비스,당구장,당구장 운영업,대전광역시,중구,오류동,오류동,대전광역시 중구 계룡로882번길,대전광역시 중구 계룡로882번길 19,127.410570622002,36.3225050329562,2.0,20
왕뼈해장국,음식,한식,국/탕/찌개류,한식 일반 음식점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1572,127.394783784097,36.3174241875395,4.0,39
카페모먼트,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로230번길,대전광역시 중구 보문로230번길 58,127.425984487762,36.3240490888449,0.0,6
내가만든미케익,음식,기타 간이,빵/도넛,제과점업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로170번길,대전광역시 중구 중앙로170번길 18,127.428790590456,36.3287039926162,0.0,2
더웰디자인,과학·기술,광고,광고물 설계/제작업,광고물 문안; 도안; 설계 등 작성업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로,대전광역시 중구 보문로 294,127.420871541049,36.328674899478,1.0,9
참좋은한국볼링,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,대전광역시,중구,용두동,용두동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 773,127.40365248105,36.3300592748357,4.0,32
태양당약국,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,대전광역시,중구,목동,목동,대전광역시 중구 목중로,대전광역시 중구 목중로 25,127.411036469222,36.3360802056646,2.0,22
미디어피플,과학·기술,광고,광고 대행업,광고 대행업,대전광역시,중구,부사동,부사동,대전광역시 중구 대종로,대전광역시 중구 대종로 364,127.432343567625,36.317968942499,1.0,14
올리브힐타운부동산공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,대전광역시,중구,목동,목동,대전광역시 중구 목동로,대전광역시 중구 목동로 68,127.406120004615,36.3366146539567,3.0,30
컴퓨터수리,수리·개인,기타 가정용품 수리,그 외 기타 개인/가정용품 수리업,그 외 기타 개인 및 가정용품 수리업,대전광역시,중구,오류동,오류동,대전광역시 중구 동서대로1303번길,대전광역시 중구 동서대로1303번길 39,127.40257553879,36.3296032704726,4.0,33
신풍전삼계탕,음식,한식,국/탕/찌개류,한식 일반 음식점업,대전광역시,중구,유천2동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1620,127.399997316554,36.3186671619692,4.0,33
다온디자인,과학·기술,전문 디자인,시각 디자인업,시각 디자인업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로28번길,대전광역시 중구 대흥로28번길 15,127.417440956136,36.3226919256396,1.0,13
삼현,소매,연료 소매,가정용 연료 소매업,가정용 가스 연료 소매업,대전광역시,중구,산성동,산성동,대전광역시 중구 문화로,대전광역시 중구 문화로 8,127.386857325722,36.3099574579588,6.0,49
성모척척마취통증의학과의원,보건의료,의원,기타 의원,일반의원,대전광역시,중구,유천2동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1600,127.39788474046,36.318223937885,4.0,35
강종원정형외과의원,보건의료,의원,외과 의원,일반의원,대전광역시,중구,목동,목동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1403,127.412221483389,36.3340311832302,2.0,20
에바다미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,용두동,용두동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1336,127.407814104066,36.3291336495423,3.0,28
해피데이미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,부사동,부사동,대전광역시 중구 보문로,대전광역시 중구 보문로 91,127.430940718572,36.3133208022235,2.0,22
돈까스상점,음식,서양식,경양식,서양식 음식점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로1583번길,대전광역시 중구 계백로1583번길 17,127.395530326698,36.3188158963967,4.0,38
하나전자,소매,중고 상품 소매,중고 상품 소매업,중고 가전제품 및 통신장비 소매업,대전광역시,중구,중촌동,중촌동,대전광역시 중구 대종로,대전광역시 중구 대종로 692,127.410440680658,36.3412324296811,3.0,25
최에덴헤어,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,산성동,산성동,대전광역시 중구 보문산로,대전광역시 중구 보문산로 37,127.384704499866,36.3047551664807,6.0,53
싸다구,소매,가전·통신 소매,핸드폰 소매업,통신기기 소매업,대전광역시,중구,유천2동,유천동,대전광역시 중구 평촌로,대전광역시 중구 평촌로 104,127.398330769265,36.3224981282353,4.0,38
지앤트레이딩,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 155,127.426870727814,36.3292625927749,0.0,3
동림빌딩,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로79번길,대전광역시 중구 중앙로79번길 1,127.420037839119,36.32544436724,1.0,10
홈CC인테리어,과학·기술,전문 디자인,인테리어 디자인업,도배; 실내 장식 및 내장 목공사업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 73-1,127.421097280317,36.3237551440998,1.0,10
딸기네일,소매,의약·화장품 소매,화장품 소매업,화장품; 비누 및 방향제 소매업,대전광역시,중구,유천1동,유천동,대전광역시 중구 태평로44번길,대전광역시 중구 태평로44번길 15,127.393698142115,36.3209966650641,5.0,40
아폴로인형,소매,오락용품 소매,장난감 소매업,게임용구; 인형 및 장난감 소매업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로164번길,대전광역시 중구 중앙로164번길 22-12,127.427568067178,36.3283376424681,0.0,1
에메필,소매,섬유·의복·신발 소매,기타 의류 소매업,속옷 및 잠옷 소매업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 145,127.424883932736,36.3283157455132,0.0,3
보명당약국,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,대전광역시,중구,부사동,부사동,대전광역시 중구 대종로,대전광역시 중구 대종로 313,127.434223453357,36.3136518228646,2.0,20
이룸공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,대전광역시,중구,용두동,용두동,대전광역시 중구 어덕마을로10번길,대전광역시 중구 어덕마을로10번길 71-12,127.404685569429,36.3304249258115,4.0,32
로브,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 145,127.424883932736,36.3283157455132,0.0,3
갯벌바지락손칼국수,음식,한식,국수/칼국수,한식 면 요리 전문점,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로,대전광역시 중구 수침로 104,127.399341191128,36.3287038331273,4.0,37
회데이,음식,한식,횟집,한식 해산물 요리 전문점,대전광역시,중구,용두동,용두동,대전광역시 중구 용두로,대전광역시 중구 용두로 36-1,127.408339662576,36.3273878204713,3.0,26
퍼니처월드,소매,가구 소매,가구 소매업,가구 소매업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 419,127.431100573635,36.3265700231544,0.0,6
차미,수리·개인,자동차 수리·세차,자동차 세차장,자동차 세차업,대전광역시,중구,중촌동,중촌동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1459,127.416960309114,36.3378757048169,2.0,20
대전중앙FC,교육,기타 교육,요가/필라테스 학원,기타 스포츠 교육기관,대전광역시,중구,목동,목동,대전광역시 중구 동서대로1352번길,대전광역시 중구 동서대로1352번길 41-23,127.411830366087,36.3282702513506,2.0,21
롤로토바코,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,의복 액세서리 및 모조 장신구 소매업,대전광역시,중구,문화2동,문화동,대전광역시 중구 산성로,대전광역시 중구 산성로 132,127.401533213924,36.3115098829882,5.0,39
몽그라운드,예술·스포츠,유원지·오락,기타 오락장,기타 오락장 운영업,대전광역시,중구,목동,목동,대전광역시 중구 어덕마을로,대전광역시 중구 어덕마을로 42-5,127.403949482207,36.3349365328004,4.0,35
포레,과학·기술,광고,광고 대행업,광고 대행업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로1571번길,대전광역시 중구 계백로1571번길 52,127.393834294179,36.3206729041595,5.0,41
지에스25태평,소매,종합 소매,편의점,체인화 편의점,대전광역시,중구,태평1동,태평동,대전광역시 중구 유천로132번길,대전광역시 중구 유천로132번길 37,127.397533222681,36.3248283581373,4.0,37
남스타,소매,가전·통신 소매,가전제품 소매업,가전제품 소매업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 85,127.420335343544,36.3258784124334,1.0,11
올리비아하슬러,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계백로,대전광역시 중구 계백로 1690,127.407702803638,36.3202917968177,3.0,25
시그마스터디카페SIGMASTUDYCAFE,예술·스포츠,도서관·사적지,독서실/스터디 카페,전자상거래 소매업,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로111번길,대전광역시 중구 수침로111번길 9,127.398135679337,36.3290402452346,4.0,38
신마포갈매기식당,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 중앙로122번길,대전광역시 중구 중앙로122번길 26,127.423805304627,36.3265621175142,0.0,5
북새통식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로1565번길,대전광역시 중구 계백로1565번길 53,127.393049743959,36.3198758198619,5.0,41
제이원,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,목동,목동,대전광역시 중구 목동로,대전광역시 중구 목동로 5,127.409898429324,36.3318927799555,3.0,24
맥스시트,소매,자동차 부품 소매,자동차 부품 소매업,기타 자동차 신품 부품 및 내장품 판매업,대전광역시,중구,대사동,대사동,대전광역시 중구 충무로,대전광역시 중구 충무로 106-1,127.428812770322,36.318033237414,1.0,15
남원집,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,문화2동,문화동,대전광역시 중구 보문산로227번길,대전광역시 중구 보문산로227번길 57,127.404164044352,36.3082154141575,5.0,42
서현김영희한복,시설관리·임대,가정용품 대여,의류 대여업,의류 임대업,대전광역시,중구,용두동,용두동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 835,127.408483326252,36.3260636885739,3.0,24
천하세차장,수리·개인,자동차 수리·세차,자동차 세차장,자동차 세차업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계룡로904번안길,대전광역시 중구 계룡로904번안길 14,127.413112956226,36.3206158944837,2.0,20
따블게임랜드,예술·스포츠,유원지·오락,전자 게임장,전자 게임장 운영업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로175번길,대전광역시 중구 대흥로175번길 41,127.430016886975,36.3270245005135,0.0,4
고향,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문산공원로,대전광역시 중구 보문산공원로 524-2,127.424105366059,36.3145408169278,2.0,23
만능전파사,수리·개인,가전제품 수리,가전제품 수리업,가전제품 수리업,대전광역시,중구,문창동,문창동,대전광역시 중구 대종로274번길,대전광역시 중구 대종로274번길 11,127.438220376974,36.3122286602029,3.0,25
다전우렁쌈밥,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문로,대전광역시 중구 보문로 168-12,127.426305914403,36.3181834593288,2.0,16
산내슈퍼,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,대사동,대사동,대전광역시 중구 솔밭로,대전광역시 중구 솔밭로 13,127.419267259571,36.3167164770703,2.0,20
대사슈퍼,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문로,대전광역시 중구 보문로 123,127.427680287493,36.3145129218927,2.0,22
동네슈퍼,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문산공원로,대전광역시 중구 보문산공원로 532-1,127.425014265941,36.3151219958719,2.0,21
한국응급자동차병원,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,대전광역시,중구,대사동,대사동,대전광역시 중구 계룡로921번길,대전광역시 중구 계룡로921번길 40,127.417692605948,36.3218009095103,2.0,15
통소매식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,대사동,대사동,대전광역시 중구 대흥로24번길,대전광역시 중구 대흥로24번길 23,127.417451552952,36.3212679946423,2.0,16
